,Game,Price,Offers,Tags,Day
0,Zombie Night Terror,1.0,12.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
1,Aaero,0.5,15.0,"Niezalezne, Akcja",2019/05/02
2,Dandara,0.5,49.0,"Niezalezne, Akcja",2019/05/02
3,Sword of the Stars: The Pit - Osmium Edition,9.99,1.0,"Niezalezne, RPG, Strategiczne, Rekreacyjne",2019/05/02
4,Wandersong,0.99,37.0,"Niezalezne, Przygodowe",2019/05/02
5,Just Cause 3 XXL Edition,13.98,18.0,"Akcja, RPG, Przygodowe",2019/05/02
6,This War of Mine - The Little Ones DLC,18.0,1.0,"Niezalezne, Symulacje, Przygodowe",2019/05/02
7,Absolver,3.68,27.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
8,Full Metal Furies,2.49,10.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/02
9,Worms Ultimate Mayhem - Deluxe Edition,10.4,7.0,Strategiczne,2019/05/02
10,Tales of Symphonia,29.0,1.0,RPG,2019/05/02
11,Sonic & All-Stars Racing Transformed,25.98,2.0,"Wyscigi, Sportowe",2019/05/02
12,dontbegrey,4.9,1.0,"Niezalezne, Akcja",2019/05/02
13,Time Mysteries 2: The Ancient Spectres,1.99,2.0,Rekreacyjne,2019/05/02
14,ROCKETSROCKETSROCKETS,3.94,1.0,"Niezalezne, Akcja, Strategiczne, Sportowe, Rekreacyjne",2019/05/02
15,Warhammer: Vermintide 2 - Collector's Edition,30.0,7.0,"Niezalezne, Akcja",2019/05/02
16,Resident Evil 6 / Biohazard 6,24.99,2.0,"Akcja, Przygodowe",2019/05/02
17,Sonic Generations,9.99,2.0,Akcja,2019/05/02
18,ADR1FT,7.34,2.0,"Niezalezne, Przygodowe",2019/05/02
19,Tannenberg,4.8,12.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
20,Double Dragon Trilogy,0.7,15.0,Akcja,2019/05/02
21,Raptor: Call of The Shadows - 2015 Edition,0.5,18.0,Akcja,2019/05/02
22,Pang Adventures,0.8,13.0,Akcja,2019/05/02
23,King's Bounty: Platinum Edition,20.0,1.0,"RPG, Strategiczne",2019/05/02
24,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,4.98,18.0,Akcja,2019/05/02
25,Batman: Arkham Origins - Online Supply Drop 2,1.89,3.0,"Akcja, Przygodowe",2019/05/02
26,Crazy Machines 2: Pirates,0.99,3.0,"Strategiczne, Rekreacyjne",2019/05/02
27,Dead Secret,6.99,2.0,"Niezalezne, Przygodowe",2019/05/02
28,House of 1000 Doors: The Palm of Zoroaster Collector's Edition,0.99,3.0,"Przygodowe, Rekreacyjne",2019/05/02
29,PixelJunk Monsters Ultimate,0.84,4.0,Strategiczne,2019/05/02
30,Steel Rats,0.88,42.0,"Akcja, Wyscigi",2019/05/02
31,Tower Unite,11.99,1.0,"Niezalezne, Wczesny dostep, Akcja, Przygodowe, Rekreacyjne, MMO",2019/05/02
32,Food Hunter,0.5,7.0,"Niezalezne, Wyscigi, Rekreacyjne",2019/05/02
33,Sniper Elite 3,9.49,12.0,"Akcja, Przygodowe",2019/05/02
34,Rise & Shine,2.5,7.0,"Niezalezne, Akcja",2019/05/02
35,Legacy of Kain: Soul Reaver,9.99,2.0,"Akcja, Przygodowe",2019/05/02
36,Trivia Quiz: All about everything!,3.0,1.0,"Niezalezne, Rekreacyjne",2019/05/02
37,Arkshot,1.75,5.0,"Niezalezne, Akcja",2019/05/02
38,Welcome to Bummertown,1.5,2.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
39,Auro: A Monster-Bumping Adventure,1.0,4.0,Strategiczne,2019/05/02
40,Hentai Hexa Mosaic,0.9,2.0,"Niezalezne, Symulacje, RPG, Strategiczne, Rekreacyjne",2019/05/02
41,Cube Life: Island Survival,2.0,1.0,"Niezalezne, Przygodowe",2019/05/02
42,Blink,2.0,2.0,"Niezalezne, Przygodowe",2019/05/02
43,DEBUFF,1.5,2.0,"Niezalezne, Akcja, RPG, Sportowe, Rekreacyjne",2019/05/02
44,BingoBango,2.5,1.0,"Niezalezne, Rekreacyjne",2019/05/02
45,Squirrel Sphere,0.9,3.0,"Niezalezne, Akcja",2019/05/02
46,Legacy of Kain: Soul Reaver 2,6.99,2.0,"Akcja, Przygodowe",2019/05/02
47,Pankapu - Complete Edition,4.3,5.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
48,Zombie Town : Online,1.5,2.0,"Niezalezne, Akcja, Rekreacyjne, MMO",2019/05/02
49,Megacity Builder,0.99,3.0,"Niezalezne, Symulacje, Strategiczne",2019/05/02
50,Burning Instinct,0.9,2.0,"Niezalezne, Przygodowe",2019/05/02
51,Strike Cars,1.5,2.0,"Symulacje, Akcja, Wyscigi",2019/05/02
52,Curse of the Old Gods,0.9,2.0,Przygodowe,2019/05/02
53,The Last Leviathan,1.75,10.0,"Niezalezne, Symulacje, Wczesny dostep, Akcja, Strategiczne, Przygodowe",2019/05/02
54,Darkest Wave,1.2,2.0,Akcja,2019/05/02
55,"FAN'CIE VEER! (Fish Are Nasty, Cake Is Excellent Vektor Evading Emblazed Rapture)",0.9,2.0,Akcja,2019/05/02
56,The Darkside Detective,0.7,23.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
57,Paradigm,1.0,20.0,"Niezalezne, Przygodowe",2019/05/02
58,If you know what I mean,0.8,4.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
59,Angel's Love,0.8,3.0,"Niezalezne, Rekreacyjne",2019/05/02
60,Mutual Secret,1.5,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
61,Evolo.Evolution,1.5,1.0,"Niezalezne, Symulacje, Wczesny dostep, Strategiczne",2019/05/02
62,Checkmate!,0.9,2.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/02
63,Checkmate! Soundtrack,1.0,1.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/02
64,Bleed 2,0.75,16.0,"Niezalezne, Akcja",2019/05/02
65,Ash of Gods: Redemption,9.19,10.0,"Niezalezne, RPG, Strategiczne, Przygodowe",2019/05/02
66,Offworld Trading Company and Jupiter's Forge,4.5,22.0,"Niezalezne, Symulacje, Strategiczne",2019/05/02
67,Torment: Tides of Numenera,16.99,10.0,"Niezalezne, RPG, Strategiczne, Przygodowe",2019/05/02
68,Who's Your Daddy,4.5,3.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
69,Hotel Dracula,2.0,2.0,"Symulacje, Strategiczne, Rekreacyjne",2019/05/02
70,Rapture Rejects,1.5,12.0,"Niezalezne, Wczesny dostep, Akcja, MMO",2019/05/02
71,Kentucky Route Zero,3.5,7.0,"Niezalezne, Przygodowe",2019/05/02
72,Darksiders II Deathinitive Edition,4.25,8.0,"Akcja, RPG, Przygodowe",2019/05/02
73,Rock of Ages 2: Bigger & Boulder,5.5,8.0,"Niezalezne, Akcja, Strategiczne, Wyscigi",2019/05/02
74,Civilization VI - Australia Civilization & Scenario Pack,6.45,6.0,Strategiczne,2019/05/02
75,Last Day of June,3.25,10.0,"Niezalezne, Przygodowe",2019/05/02
76,GALAK-Z,0.5,10.0,"Niezalezne, Akcja",2019/05/02
77,"Warhammer 40,000: Dawn of War III",18.0,8.0,"Symulacje, Akcja, Strategiczne",2019/05/02
78,Hyperdimension Neptunia Re;Birth1,8.25,8.0,"RPG, Strategiczne",2019/05/02
79,The First Tree,3.0,9.0,"Niezalezne, Przygodowe",2019/05/02
80,Mech Rage,1.19,2.0,"Niezalezne, Akcja",2019/05/02
81,Diaries of a Spaceport Janitor,3.5,4.0,"Niezalezne, Symulacje, RPG, Przygodowe, Rekreacyjne",2019/05/02
82,Hearts of Iron III Collection,2.4,10.0,Strategiczne,2019/05/02
83,Bad Dream: Coma,0.74,11.0,"Niezalezne, Przygodowe",2019/05/02
84,LEGO Harry Potter: Years 1-4,2.9,5.0,"Akcja, Przygodowe",2019/05/02
85,Out of the Park Baseball 14,1.68,1.0,"Niezalezne, Symulacje, Sportowe",2019/05/02
86,GOD EATER RESURRECTION,9.7,2.0,"Akcja, RPG",2019/05/02
87,Minit,0.8,39.0,"Niezalezne, Przygodowe",2019/05/02
88,LEGO Worlds,14.5,11.0,Przygodowe,2019/05/02
89,FINAL FANTASY XIV Online - Starter Edition,14.99,1.0,"RPG, MMO",2019/05/02
90,Cultist Simulator,6.8,20.0,"Niezalezne, Symulacje, RPG",2019/05/02
91,LEGO City Undercover,19.9,1.0,Akcja,2019/05/02
92,Stellaris,22.0,17.0,"Symulacje, Strategiczne",2019/05/02
93,Fallout 3,4.49,4.0,RPG,2019/05/02
94,Guts and Glory,6.0,4.0,"Niezalezne, Akcja, Wyscigi, Rekreacyjne",2019/05/02
95,Crucible Trails : Initial Rupture,10.0,2.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
96,Gloom: Digital Edition,1.16,8.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/02
97,Major Mayhem,1.24,1.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
98,Demigod,15.79,2.0,"Akcja, RPG, Strategiczne",2019/05/02
99,Slipstream,0.69,25.0,"Niezalezne, Wyscigi, Rekreacyjne",2019/05/02
100,City Escaper,0.75,2.0,Niezalezne,2019/05/02
101,The Low Road,4.2,6.0,"Niezalezne, Przygodowe",2019/05/02
102,Star Wars Jedi Knight: Jedi Academy,2.9,15.0,Akcja,2019/05/02
103,Star Wars Jedi Knight II: Jedi Outcast,3.79,12.0,Akcja,2019/05/02
104,Project Highrise,4.85,14.0,"Symulacje, Strategiczne",2019/05/02
105,Narcosis,9.8,6.0,"Niezalezne, Przygodowe",2019/05/02
106,Anima Gate of Memories,5.4,6.0,"Akcja, RPG, Przygodowe",2019/05/02
107,BARRIER X,0.6,5.0,"Niezalezne, Akcja",2019/05/02
108,The Sexy Brutale,2.2,14.0,"Niezalezne, Przygodowe",2019/05/02
109,Baseball Riot,1.7,2.0,"Niezalezne, Sportowe, Rekreacyjne",2019/05/02
110,Insane 2,2.44,4.0,Wyscigi,2019/05/02
111,Sparkle Unleashed,1.8,3.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
112,GT Legends,2.34,3.0,"Symulacje, Wyscigi, Sportowe",2019/05/02
113,SEUM: Speedrunners from Hell,0.94,14.0,"Niezalezne, Akcja",2019/05/02
114,The Spatials,2.39,6.0,"Niezalezne, Symulacje, RPG",2019/05/02
115,Pathfinder Adventures - Obsidian Edition,13.29,2.0,"RPG, Strategiczne",2019/05/02
116,Bohemian Killing,2.19,6.0,"Niezalezne, Przygodowe",2019/05/02
117,Scythe: Digital Edition,24.38,3.0,Strategiczne,2019/05/02
118,The Detail Season One,7.24,5.0,"Niezalezne, Przygodowe",2019/05/02
119,Mashed,1.24,3.0,Wyscigi,2019/05/02
120,Zero Gear,1.19,3.0,"Niezalezne, Akcja, Wyscigi, Sportowe",2019/05/02
121,GTR Evolution (inc. RACE 07 and Formula RaceRoom Add-On),1.39,4.0,"Symulacje, Wyscigi",2019/05/02
122,Drift Streets Japan,1.29,7.0,"Niezalezne, Symulacje, Akcja, Wyscigi, Sportowe, MMO",2019/05/02
123,Protect your planet,0.5,3.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/02
124,GRID 2,3.0,11.0,"Wyscigi, Sportowe",2019/05/02
125,Daddy,0.87,4.0,Niezalezne,2019/05/02
126,Bunny - The Horror Game,1.4,2.0,Niezalezne,2019/05/02
127,Grandpa,1.15,2.0,Niezalezne,2019/05/02
128,The Artifact,1.45,3.0,Niezalezne,2019/05/02
129,Impact Winter,2.85,13.0,"Niezalezne, Symulacje, Przygodowe",2019/05/02
130,T.A.P.,1.49,1.0,"Akcja, Strategiczne, Rekreacyjne",2019/05/02
131,7 Grand Steps: What Ancients Begat,1.5,2.0,"Niezalezne, Symulacje, Strategiczne, Rekreacyjne",2019/05/02
132,Clustertruck,9.5,3.0,"Niezalezne, Akcja",2019/05/02
133,Poker Night 2,3.0,2.0,"Sportowe, Rekreacyjne",2019/05/02
134,Block Survival: Legend of the Lost Islands,2.5,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
135,She Remembered Caterpillars,0.5,35.0,Niezalezne,2019/05/02
136,Sins of a Solar Empire: Rebellion,3.5,9.0,"Niezalezne, Strategiczne",2019/05/02
137,Sonic the Hedgehog 4 - Episode I,3.98,5.0,"Akcja, Przygodowe",2019/05/02
138,XCOM: Enemy Unknown - The Complete Edition,28.5,2.0,Strategiczne,2019/05/02
139,Dungeon Siege,6.8,4.0,RPG,2019/05/02
140,Fire,7.2,4.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
141,Blackguards Franchise Bundle,14.2,2.0,"Niezalezne, RPG, Strategiczne, Przygodowe",2019/05/02
142,BioShock Infinite,19.5,6.0,Akcja,2019/05/02
143,Bomber Crew,9.7,8.0,"Symulacje, Strategiczne",2019/05/02
144,NeonGalaxy Wars,0.5,3.0,"Niezalezne, Rekreacyjne",2019/05/02
145,Nova-111,2.7,3.0,"Niezalezne, Akcja, Strategiczne, Przygodowe",2019/05/02
146,Tank Blazers,0.94,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
147,The Descendant Full Season,6.75,3.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
148,Heart and Axe,0.94,3.0,Przygodowe,2019/05/02
149,Jelly Bomber,0.89,1.0,"Niezalezne, Wczesny dostep, Strategiczne, Rekreacyjne",2019/05/02
150,Chaos Village,0.89,1.0,"Niezalezne, Akcja, RPG",2019/05/02
151,EvilQuest,0.88,5.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/02
152,Syndrome,6.35,2.0,"Akcja, Przygodowe",2019/05/02
153,Phantom Trigger,3.95,4.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
154,THE LAST BLADE,3.99,2.0,Akcja,2019/05/02
